birth,death,x_b,y_b,z_b,x_d,y_d,z_d
1.9,2.5,69.0,387.4999999999999,290.0,56.5,389.5,300.0
3.2,2.7,18.0,9.5,110.0,16.0,3.5,92.49999999999994
2.9,4.2,27.0,215.0,227.4999999999999,22.499999999999996,213.9999999999999,249.4999999999999
2.5,5.2,29.5,216.0,167.0,29.5,184.5,184.0
2.5,5.2,22.999999999999996,93.99999999999994,183.5,25.499999999999996,96.99999999999994,159.49999999999994
2.5,3.9,35.5,115.99999999999994,144.0,30.499999999999996,118.0,122.5
2.3,7.0,49.0,331.0,88.49999999999994,45.5,288.0,94.5
2.3,3.9,57.0,388.0,69.5,39.5,336.5,13.0
2.3,3.5,32.0,164.49999999999994,110.99999999999994,30.499999999999996,169.49999999999994,133.99999999999994
2.2,3.2,27.0,92.99999999999994,50.49999999999994,26.499999999999996,118.99999999999994,56.5
2.2,4.6,43.0,237.0,136.5,35.5,252.0,176.5
2.2,2.8,43.0,271.0,119.49999999999994,41.5,260.0,128.49999999999994
2.2,3.0,45.99999999999999,335.0,61.49999999999994,53.49999999999999,339.0,81.49999999999994
2.2,2.4,50.99999999999999,368.0,70.49999999999994,52.5,380.0,63.49999999999994
2.1,4.0,32.0,180.5,92.0,31.0,158.5,90.5
2.1,5.3,52.0,369.9999999999999,175.5,59.0,389.5,221.5
2.0,3.4,57.0,349.5,91.0,59.5,370.5,76.99999999999994
1.9,7.8,13.0,88.99999999999994,68.5,15.5,163.49999999999994,91.0
1.9,2.7,22.999999999999996,37.5,133.99999999999994,21.0,54.5,121.5
1.9,4.1,42.0,297.0,230.5,46.5,299.5,194.0
1.9,2.4,52.99999999999999,344.0,64.5,55.49999999999999,360.4999999999999,71.0
1.9,4.7,64.0,288.5,109.0,52.99999999999999,334.5,145.5
1.6,2.5,20.0,199.99999999999994,272.5,19.5,185.5,271.0
1.6,3.9,22.999999999999996,289.0,96.5,31.499999999999996,268.5,132.0
1.5,2.5,40.0,266.0,174.5,43.5,271.9999999999999,156.5
1.5,2.3,55.0,299.0,130.5,59.5,294.5,122.0
1.3,2.2,60.99999999999999,320.0,89.49999999999994,58.49999999999999,333.0,90.5
1.3,3.6,36.0,377.5,74.0,37.0,389.5,91.5
0.9,2.1,38.0,357.0,162.5,34.5,352.5,158.99999999999994
0.9,2.1,43.0,199.49999999999994,65.99999999999994,43.5,198.5,56.99999999999994
0.9,6.6,67.5,386.9999999999999,27.999999999999943,20.5,16.5,42.0
0.7,5.4,66.0,335.0,111.49999999999994,59.5,392.5,144.0
